,GMIS.Region,GMIS.Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
83,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Assistant II,44,4,48,91.67
84,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Assistant III,46,2,48,95.83
85,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Officer I,4,0,4,100
86,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Officer II,111,43,154,72.08
87,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Officer III,1,0,1,100
88,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Officer IV,4,0,4,100
89,Cordillera Administrative Region (CAR),Division of Apayao,Administrative Officer V,2,0,2,100
90,Cordillera Administrative Region (CAR),Division of Apayao,Assistant Schools Division Superintendent,1,0,1,100
91,Cordillera Administrative Region (CAR),Division of Apayao,Attorney III,1,0,1,100
92,Cordillera Administrative Region (CAR),Division of Apayao,Chief Education Supervisor,2,0,2,100
93,Cordillera Administrative Region (CAR),Division of Apayao,Dentist II,2,0,2,100
94,Cordillera Administrative Region (CAR),Division of Apayao,Education Program Specialist II,5,0,5,100
95,Cordillera Administrative Region (CAR),Division of Apayao,Education Program Supervisor,11,0,11,100
96,Cordillera Administrative Region (CAR),Division of Apayao,Engineer III,1,0,1,100
97,Cordillera Administrative Region (CAR),Division of Apayao,Farm Worker I,2,0,2,100
98,Cordillera Administrative Region (CAR),Division of Apayao,Guidance Counselor III,1,0,1,100
99,Cordillera Administrative Region (CAR),Division of Apayao,Head Teacher I,18,4,22,81.82
100,Cordillera Administrative Region (CAR),Division of Apayao,Head Teacher II,6,0,6,100
101,Cordillera Administrative Region (CAR),Division of Apayao,Head Teacher III,28,2,30,93.33
102,Cordillera Administrative Region (CAR),Division of Apayao,Head Teacher VI,1,0,1,100
103,Cordillera Administrative Region (CAR),Division of Apayao,Information Technology Officer I,1,0,1,100
104,Cordillera Administrative Region (CAR),Division of Apayao,Librarian II,1,0,1,100
105,Cordillera Administrative Region (CAR),Division of Apayao,Master Teacher I,90,1,91,98.9
106,Cordillera Administrative Region (CAR),Division of Apayao,Master Teacher II,38,0,38,100
107,Cordillera Administrative Region (CAR),Division of Apayao,Master Teacher III,1,0,1,100
108,Cordillera Administrative Region (CAR),Division of Apayao,Medical Officer III,1,0,1,100
109,Cordillera Administrative Region (CAR),Division of Apayao,Nurse II,17,0,17,100
110,Cordillera Administrative Region (CAR),Division of Apayao,Planning Officer III,1,0,1,100
111,Cordillera Administrative Region (CAR),Division of Apayao,Project Development Officer I,8,0,8,100
112,Cordillera Administrative Region (CAR),Division of Apayao,Project Development Officer II,2,0,2,100
113,Cordillera Administrative Region (CAR),Division of Apayao,Public Schools District Supervisor,10,0,10,100
114,Cordillera Administrative Region (CAR),Division of Apayao,School Principal I,33,4,37,89.19
115,Cordillera Administrative Region (CAR),Division of Apayao,School Principal II,10,0,10,100
116,Cordillera Administrative Region (CAR),Division of Apayao,School Principal III,8,0,8,100
117,Cordillera Administrative Region (CAR),Division of Apayao,School Principal IV,2,0,2,100
118,Cordillera Administrative Region (CAR),Division of Apayao,Schools Division Superintendent,1,0,1,100
119,Cordillera Administrative Region (CAR),Division of Apayao,Security Guard I,7,0,7,100
120,Cordillera Administrative Region (CAR),Division of Apayao,Senior Education Program Specialist,4,0,4,100
121,Cordillera Administrative Region (CAR),Division of Apayao,Special Education Teacher I,4,5,9,44.44
122,Cordillera Administrative Region (CAR),Division of Apayao,Special Science Teacher I,3,0,3,100
123,Cordillera Administrative Region (CAR),Division of Apayao,Teacher I,426,45,471,90.45
124,Cordillera Administrative Region (CAR),Division of Apayao,Teacher II,186,3,189,98.41
125,Cordillera Administrative Region (CAR),Division of Apayao,Teacher III,884,8,892,99.1
126,Cordillera Administrative Region (CAR),Division of Baguio City,Accountant III,1,0,1,100
127,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Aide I,23,0,23,100
128,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Aide III,4,1,5,80
129,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Aide IV,6,0,6,100
130,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Aide VI,5,4,9,55.56
131,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Assistant I,1,0,1,100
132,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Assistant II,25,4,29,86.21
133,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Assistant III,22,7,29,75.86
134,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Officer I,4,0,4,100
135,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Officer II,68,0,68,100
136,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Officer III,3,0,3,100
137,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Officer IV,6,0,6,100
138,Cordillera Administrative Region (CAR),Division of Baguio City,Administrative Officer V,2,0,2,100
139,Cordillera Administrative Region (CAR),Division of Baguio City,Assistant School Principal II,2,0,2,100
140,Cordillera Administrative Region (CAR),Division of Baguio City,Assistant Schools Division Superintendent,1,0,1,100
141,Cordillera Administrative Region (CAR),Division of Baguio City,Attorney III,1,0,1,100
142,Cordillera Administrative Region (CAR),Division of Baguio City,Chief Education Supervisor,2,0,2,100
143,Cordillera Administrative Region (CAR),Division of Baguio City,Dental Aide,3,0,3,100
144,Cordillera Administrative Region (CAR),Division of Baguio City,Dentist I,1,0,1,100
145,Cordillera Administrative Region (CAR),Division of Baguio City,Dentist II,2,0,2,100
146,Cordillera Administrative Region (CAR),Division of Baguio City,Education Program Specialist II,5,0,5,100
147,Cordillera Administrative Region (CAR),Division of Baguio City,Education Program Supervisor,11,0,11,100
148,Cordillera Administrative Region (CAR),Division of Baguio City,Engineer III,1,0,1,100
149,Cordillera Administrative Region (CAR),Division of Baguio City,Guidance Counselor II,1,5,6,16.67
150,Cordillera Administrative Region (CAR),Division of Baguio City,Guidance Counselor III,7,0,7,100
151,Cordillera Administrative Region (CAR),Division of Baguio City,Head Teacher I,16,3,19,84.21
152,Cordillera Administrative Region (CAR),Division of Baguio City,Head Teacher III,10,0,10,100
153,Cordillera Administrative Region (CAR),Division of Baguio City,Head Teacher VI,16,1,17,94.12
154,Cordillera Administrative Region (CAR),Division of Baguio City,Information Technology Officer I,1,0,1,100
155,Cordillera Administrative Region (CAR),Division of Baguio City,Librarian II,1,0,1,100
156,Cordillera Administrative Region (CAR),Division of Baguio City,Master Teacher I,171,5,176,97.16
157,Cordillera Administrative Region (CAR),Division of Baguio City,Master Teacher II,99,0,99,100
158,Cordillera Administrative Region (CAR),Division of Baguio City,Medical Officer III,2,0,2,100
159,Cordillera Administrative Region (CAR),Division of Baguio City,Nurse II,9,0,9,100
160,Cordillera Administrative Region (CAR),Division of Baguio City,Planning Officer III,1,0,1,100
161,Cordillera Administrative Region (CAR),Division of Baguio City,Project Development Officer I,8,3,11,72.73
162,Cordillera Administrative Region (CAR),Division of Baguio City,Project Development Officer II,2,0,2,100
163,Cordillera Administrative Region (CAR),Division of Baguio City,Public Schools District Supervisor,10,0,10,100
164,Cordillera Administrative Region (CAR),Division of Baguio City,Registrar I,1,0,1,100
165,Cordillera Administrative Region (CAR),Division of Baguio City,School Librarian II,1,0,1,100
166,Cordillera Administrative Region (CAR),Division of Baguio City,School Librarian III,1,0,1,100
167,Cordillera Administrative Region (CAR),Division of Baguio City,School Principal I,32,0,32,100
168,Cordillera Administrative Region (CAR),Division of Baguio City,School Principal II,15,0,15,100
169,Cordillera Administrative Region (CAR),Division of Baguio City,School Principal III,6,0,6,100
170,Cordillera Administrative Region (CAR),Division of Baguio City,School Principal IV,4,0,4,100
171,Cordillera Administrative Region (CAR),Division of Baguio City,Schools Division Superintendent,1,0,1,100
172,Cordillera Administrative Region (CAR),Division of Baguio City,Security Guard I,5,0,5,100
173,Cordillera Administrative Region (CAR),Division of Baguio City,Senior Education Program Specialist,4,0,4,100
174,Cordillera Administrative Region (CAR),Division of Baguio City,Special Education Teacher I,6,1,7,85.71
175,Cordillera Administrative Region (CAR),Division of Baguio City,Special Education Teacher II,7,0,7,100
176,Cordillera Administrative Region (CAR),Division of Baguio City,Special Education Teacher III,21,0,21,100
177,Cordillera Administrative Region (CAR),Division of Baguio City,Special Science Teacher I,10,5,15,66.67
178,Cordillera Administrative Region (CAR),Division of Baguio City,Teacher I,448,11,459,97.6
179,Cordillera Administrative Region (CAR),Division of Baguio City,Teacher II,281,12,293,95.9
180,Cordillera Administrative Region (CAR),Division of Baguio City,Teacher III,1340,8,1348,99.41
181,Cordillera Administrative Region (CAR),Division of Baguio City,Watchman I,3,0,3,100
182,Cordillera Administrative Region (CAR),Division of Benguet,Accountant I,1,0,1,100
183,Cordillera Administrative Region (CAR),Division of Benguet,Accountant III,1,0,1,100
184,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Aide I,34,0,34,100
185,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Aide II,1,1,2,50
186,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Aide III,8,2,10,80
187,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Aide IV,13,0,13,100
188,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Aide VI,13,0,13,100
189,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Assistant I,1,0,1,100
190,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Assistant II,84,1,85,98.82
191,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Assistant III,62,3,65,95.38
192,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Officer I,11,0,11,100
193,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Officer II,324,2,326,99.39
194,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Officer III,2,0,2,100
195,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Officer IV,10,0,10,100
196,Cordillera Administrative Region (CAR),Division of Benguet,Administrative Officer V,2,0,2,100
197,Cordillera Administrative Region (CAR),Division of Benguet,Assistant School Principal II,3,0,3,100
198,Cordillera Administrative Region (CAR),Division of Benguet,Attorney III,1,0,1,100
199,Cordillera Administrative Region (CAR),Division of Benguet,Chief Education Supervisor,2,0,2,100
200,Cordillera Administrative Region (CAR),Division of Benguet,Dentist II,3,0,3,100
201,Cordillera Administrative Region (CAR),Division of Benguet,Education Program Specialist II,5,0,5,100
202,Cordillera Administrative Region (CAR),Division of Benguet,Education Program Supervisor,11,0,11,100
203,Cordillera Administrative Region (CAR),Division of Benguet,Engineer III,1,0,1,100
204,Cordillera Administrative Region (CAR),Division of Benguet,Farm Worker I,1,3,4,25
205,Cordillera Administrative Region (CAR),Division of Benguet,Guidance Counselor II,2,10,12,16.67
206,Cordillera Administrative Region (CAR),Division of Benguet,Guidance Counselor III,7,3,10,70
207,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher I,35,0,35,100
208,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher II,9,0,9,100
209,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher III,76,1,77,98.7
210,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher IV,5,0,5,100
211,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher V,4,0,4,100
212,Cordillera Administrative Region (CAR),Division of Benguet,Head Teacher VI,2,0,2,100
213,Cordillera Administrative Region (CAR),Division of Benguet,Information Technology Officer I,1,0,1,100
214,Cordillera Administrative Region (CAR),Division of Benguet,Instructor I,1,0,1,100
215,Cordillera Administrative Region (CAR),Division of Benguet,Librarian II,1,0,1,100
216,Cordillera Administrative Region (CAR),Division of Benguet,Master Teacher I,259,0,259,100
217,Cordillera Administrative Region (CAR),Division of Benguet,Master Teacher II,118,0,118,100
218,Cordillera Administrative Region (CAR),Division of Benguet,Master Teacher III,2,0,2,100
219,Cordillera Administrative Region (CAR),Division of Benguet,Medical Officer III,1,0,1,100
220,Cordillera Administrative Region (CAR),Division of Benguet,Nurse II,43,0,43,100
221,Cordillera Administrative Region (CAR),Division of Benguet,Planning Officer III,1,0,1,100
222,Cordillera Administrative Region (CAR),Division of Benguet,Project Development Officer I,17,0,17,100
223,Cordillera Administrative Region (CAR),Division of Benguet,Project Development Officer II,2,0,2,100
224,Cordillera Administrative Region (CAR),Division of Benguet,Public Schools District Supervisor,10,0,10,100
225,Cordillera Administrative Region (CAR),Division of Benguet,Registrar I,3,0,3,100
226,Cordillera Administrative Region (CAR),Division of Benguet,School Librarian I,3,0,3,100
227,Cordillera Administrative Region (CAR),Division of Benguet,School Librarian III,4,0,4,100
228,Cordillera Administrative Region (CAR),Division of Benguet,School Principal I,114,0,114,100
229,Cordillera Administrative Region (CAR),Division of Benguet,School Principal II,34,0,34,100
230,Cordillera Administrative Region (CAR),Division of Benguet,School Principal III,7,1,8,87.5
231,Cordillera Administrative Region (CAR),Division of Benguet,School Principal IV,5,0,5,100
232,Cordillera Administrative Region (CAR),Division of Benguet,Schools Division Superintendent,1,0,1,100
233,Cordillera Administrative Region (CAR),Division of Benguet,Security Guard I,18,0,18,100
234,Cordillera Administrative Region (CAR),Division of Benguet,Security Guard II,2,0,2,100
235,Cordillera Administrative Region (CAR),Division of Benguet,Senior Education Program Specialist,4,0,4,100
236,Cordillera Administrative Region (CAR),Division of Benguet,Special Education Teacher I,28,2,30,93.33
237,Cordillera Administrative Region (CAR),Division of Benguet,Special Education Teacher II,3,0,3,100
238,Cordillera Administrative Region (CAR),Division of Benguet,Special Education Teacher III,8,0,8,100
239,Cordillera Administrative Region (CAR),Division of Benguet,Special Science Teacher I,23,3,26,88.46
240,Cordillera Administrative Region (CAR),Division of Benguet,Teacher I,1095,19,1114,98.29
241,Cordillera Administrative Region (CAR),Division of Benguet,Teacher II,587,13,600,97.83
242,Cordillera Administrative Region (CAR),Division of Benguet,Teacher III,2377,5,2382,99.79
243,Cordillera Administrative Region (CAR),Division of Benguet,Watchman I,9,0,9,100
244,Cordillera Administrative Region (CAR),Division of Ifugao,Accountant III,1,0,1,100
245,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Aide I,54,6,60,90
246,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Aide III,4,3,7,57.14
247,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Aide IV,4,1,5,80
248,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Aide VI,8,1,9,88.89
249,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Assistant I,1,0,1,100
250,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Assistant II,53,7,60,88.33
251,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Assistant III,53,5,58,91.38
252,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Officer I,7,0,7,100
253,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Officer II,178,22,200,89
254,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Officer IV,4,0,4,100
255,Cordillera Administrative Region (CAR),Division of Ifugao,Administrative Officer V,2,0,2,100
256,Cordillera Administrative Region (CAR),Division of Ifugao,Assistant School Principal II,3,0,3,100
257,Cordillera Administrative Region (CAR),Division of Ifugao,Attorney III,1,0,1,100
258,Cordillera Administrative Region (CAR),Division of Ifugao,Chief Education Supervisor,2,0,2,100
259,Cordillera Administrative Region (CAR),Division of Ifugao,Dental Aide,1,0,1,100
260,Cordillera Administrative Region (CAR),Division of Ifugao,Dentist II,2,0,2,100
261,Cordillera Administrative Region (CAR),Division of Ifugao,Education Program Specialist II,5,0,5,100
262,Cordillera Administrative Region (CAR),Division of Ifugao,Education Program Supervisor,11,0,11,100
263,Cordillera Administrative Region (CAR),Division of Ifugao,Engineer III,1,0,1,100
264,Cordillera Administrative Region (CAR),Division of Ifugao,Guidance Counselor III,1,1,2,50
265,Cordillera Administrative Region (CAR),Division of Ifugao,Head Teacher I,17,0,17,100
266,Cordillera Administrative Region (CAR),Division of Ifugao,Head Teacher II,2,0,2,100
267,Cordillera Administrative Region (CAR),Division of Ifugao,Head Teacher III,50,3,53,94.34
268,Cordillera Administrative Region (CAR),Division of Ifugao,Head Teacher IV,1,0,1,100
269,Cordillera Administrative Region (CAR),Division of Ifugao,Information Technology Officer I,1,0,1,100
270,Cordillera Administrative Region (CAR),Division of Ifugao,Librarian I,1,0,1,100
271,Cordillera Administrative Region (CAR),Division of Ifugao,Librarian II,1,0,1,100
272,Cordillera Administrative Region (CAR),Division of Ifugao,Master Teacher I,121,0,121,100
273,Cordillera Administrative Region (CAR),Division of Ifugao,Master Teacher II,59,0,59,100
274,Cordillera Administrative Region (CAR),Division of Ifugao,Master Teacher III,3,0,3,100
275,Cordillera Administrative Region (CAR),Division of Ifugao,Medical Officer III,1,0,1,100
276,Cordillera Administrative Region (CAR),Division of Ifugao,Nurse II,27,0,27,100
277,Cordillera Administrative Region (CAR),Division of Ifugao,Planning Officer III,1,0,1,100
278,Cordillera Administrative Region (CAR),Division of Ifugao,Project Development Officer I,11,0,11,100
279,Cordillera Administrative Region (CAR),Division of Ifugao,Project Development Officer II,2,0,2,100
280,Cordillera Administrative Region (CAR),Division of Ifugao,Public Schools District Supervisor,10,0,10,100
281,Cordillera Administrative Region (CAR),Division of Ifugao,Registrar I,3,0,3,100
282,Cordillera Administrative Region (CAR),Division of Ifugao,School Librarian I,2,1,3,66.67
283,Cordillera Administrative Region (CAR),Division of Ifugao,School Librarian II,2,0,2,100
284,Cordillera Administrative Region (CAR),Division of Ifugao,School Principal I,76,0,76,100
285,Cordillera Administrative Region (CAR),Division of Ifugao,School Principal II,22,1,23,95.65
286,Cordillera Administrative Region (CAR),Division of Ifugao,School Principal III,4,0,4,100
287,Cordillera Administrative Region (CAR),Division of Ifugao,Security Guard I,26,1,27,96.3
288,Cordillera Administrative Region (CAR),Division of Ifugao,Senior Education Program Specialist,4,0,4,100
289,Cordillera Administrative Region (CAR),Division of Ifugao,Special Education Teacher I,7,0,7,100
290,Cordillera Administrative Region (CAR),Division of Ifugao,Special Education Teacher II,1,0,1,100
291,Cordillera Administrative Region (CAR),Division of Ifugao,Special Education Teacher III,6,0,6,100
292,Cordillera Administrative Region (CAR),Division of Ifugao,Special Science Teacher I,2,0,2,100
293,Cordillera Administrative Region (CAR),Division of Ifugao,Teacher I,367,23,390,94.1
294,Cordillera Administrative Region (CAR),Division of Ifugao,Teacher II,274,4,278,98.56
295,Cordillera Administrative Region (CAR),Division of Ifugao,Teacher III,1458,9,1467,99.39
296,Cordillera Administrative Region (CAR),Division of Kalinga,Accountant I,1,0,1,100
297,Cordillera Administrative Region (CAR),Division of Kalinga,Accountant III,1,0,1,100
298,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Aide I,13,3,16,81.25
299,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Aide III,6,0,6,100
300,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Aide IV,3,1,4,75
301,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Aide VI,8,1,9,88.89
302,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Assistant I,1,0,1,100
303,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Assistant II,32,2,34,94.12
304,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Assistant III,42,0,42,100
305,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Officer I,5,0,5,100
306,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Officer II,99,50,149,66.44
307,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Officer IV,5,0,5,100
308,Cordillera Administrative Region (CAR),Division of Kalinga,Administrative Officer V,2,0,2,100
309,Cordillera Administrative Region (CAR),Division of Kalinga,Assistant Schools Division Superintendent,1,0,1,100
310,Cordillera Administrative Region (CAR),Division of Kalinga,Attorney III,1,0,1,100
311,Cordillera Administrative Region (CAR),Division of Kalinga,Chief Education Supervisor,2,0,2,100
312,Cordillera Administrative Region (CAR),Division of Kalinga,Communications Equipment Operator I,1,0,1,100
313,Cordillera Administrative Region (CAR),Division of Kalinga,Communications Equipment Operator II,1,0,1,100
314,Cordillera Administrative Region (CAR),Division of Kalinga,Dentist II,3,0,3,100
315,Cordillera Administrative Region (CAR),Division of Kalinga,Education Program Specialist II,5,0,5,100
316,Cordillera Administrative Region (CAR),Division of Kalinga,Education Program Supervisor,11,0,11,100
317,Cordillera Administrative Region (CAR),Division of Kalinga,Engineer III,1,0,1,100
318,Cordillera Administrative Region (CAR),Division of Kalinga,Guidance Counselor III,2,1,3,66.67
319,Cordillera Administrative Region (CAR),Division of Kalinga,Head Teacher I,26,0,26,100
